# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/28 10:30:22.406000000
# End Time   : 2017/01/29 15:15:41.078000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_1_1_0/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_OnDetPower_TPCPS_1_1_0/CURR_READ Value
2017/01/28 18:32:59.000000000	-213.1895	2.9811
2017/01/28 18:35:08.000000000	-212.9312	2.9819
2017/01/28 18:37:17.000000000	-212.5473	2.9969
2017/01/28 18:39:26.000000000	-212.4145	3.0009
2017/01/28 18:41:35.000000000	-212.3880	3.0170
2017/01/28 18:43:44.000000000	-212.4858	2.9675
2017/01/28 18:45:53.000000000	-212.2891	2.9838
2017/01/28 18:48:02.000000000	-212.3771	2.9790
2017/01/28 18:50:11.000000000	-212.0255	2.9728
2017/01/28 18:52:20.000000000	-212.0143	2.9774
2017/01/28 18:54:29.000000000	-212.2369	2.9390
2017/01/28 18:56:38.000000000	-212.8559	2.9467
2017/01/28 18:58:47.000000000	-212.6411	2.9484
2017/01/28 19:00:56.000000000	-212.7210	2.8922
2017/01/28 19:03:05.000000000	-212.5293	2.9492
2017/01/28 19:05:14.000000000	-212.3405	2.9728
2017/01/28 19:07:23.000000000	-213.0750	2.9871
2017/01/28 19:09:32.000000000	-212.6259	2.9889
2017/01/28 19:11:41.000000000	-212.8428	3.0176
2017/01/28 19:13:50.000000000	-212.3229	3.0085
2017/01/28 19:15:59.000000000	-212.4889	3.0289
2017/01/28 19:18:08.000000000	-212.4890	3.0262
2017/01/28 19:20:17.000000000	-213.1691	2.9735
2017/01/28 19:22:26.000000000	-212.7366	3.0014
2017/01/28 19:24:35.000000000	-212.4781	2.9560
2017/01/28 19:26:44.000000000	-213.2669	2.9679
2017/01/28 19:28:53.000000000	-213.1557	2.9886
2017/01/28 19:31:02.000000000	-212.6193	2.9382
2017/01/28 19:33:11.000000000	-212.8329	2.9576
2017/01/28 19:35:20.000000000	-212.6904	3.0189
2017/01/28 19:37:29.000000000	-213.3746	3.0020
2017/01/28 19:39:38.000000000	-212.7936	2.9964
2017/01/28 19:41:47.000000000	-212.8605	2.9918
2017/01/28 19:43:56.000000000	-212.7302	2.9949
2017/01/28 19:46:05.000000000	-213.1311	3.0236
2017/01/28 19:48:14.000000000	-212.7269	3.0111
2017/01/28 19:50:23.000000000	-212.0559	3.0022
2017/01/28 19:52:32.000000000	-212.0005	2.9955
2017/01/28 19:54:41.000000000	-212.4235	2.9736
2017/01/28 19:56:50.000000000	-212.5779	2.9524
2017/01/28 19:58:59.000000000	-211.8492	2.9460
2017/01/28 20:01:08.000000000	-212.3148	2.9608
2017/01/28 20:03:17.000000000	-212.5393	2.9746
2017/01/28 20:05:26.000000000	-212.5594	2.9702
2017/01/28 20:07:35.000000000	-212.4583	2.9634
2017/01/28 20:09:44.000000000	-212.6570	2.9104
2017/01/28 20:11:53.000000000	-212.0821	2.9418
2017/01/28 20:14:02.000000000	-212.3647	3.0308
2017/01/28 20:16:11.000000000	-214.6778	3.0395
2017/01/28 20:18:20.000000000	-216.5151	3.0425
2017/01/28 20:20:29.000000000	-213.1339	3.0351
2017/01/28 20:22:38.000000000	-211.8508	3.0201
2017/01/28 20:24:47.000000000	-211.9760	3.0019
2017/01/28 20:26:56.000000000	-211.9447	3.0092
2017/01/28 20:29:05.000000000	-212.1214	3.0355
2017/01/28 20:31:14.000000000	-212.0664	2.9922
2017/01/28 20:33:23.000000000	-212.1435	2.9735
2017/01/28 20:35:32.000000000	-212.2275	2.9681
2017/01/28 20:37:41.000000000	-212.3836	2.9692
2017/01/28 20:39:50.000000000	-212.5532	3.0021
2017/01/28 20:41:59.000000000	-212.2572	3.0164
2017/01/28 20:44:08.000000000	-211.8993	2.9895
2017/01/28 20:46:17.000000000	-212.2041	3.0222
2017/01/28 20:48:26.000000000	-211.8557	3.0377
2017/01/28 20:50:35.000000000	-212.7150	3.0063
2017/01/28 20:52:44.000000000	-216.5054	3.0063
2017/01/28 20:54:53.000000000	-216.4961	3.0432
2017/01/28 20:57:02.000000000	-216.4998	3.0432
2017/01/28 20:59:11.000000000	-216.5026	3.0422
2017/01/28 21:01:20.000000000	-216.5110	3.0422
2017/01/28 21:03:29.000000000	-216.5018	3.0422
2017/01/28 21:05:38.000000000	-216.5058	3.0422
2017/01/28 21:07:47.000000000	-216.5098	3.0422
2017/01/28 21:09:56.000000000	-216.5121	3.0422
2017/01/28 21:12:05.000000000	-216.5200	3.0422
2017/01/28 21:14:14.000000000	-216.5226	3.0422
2017/01/28 21:16:23.000000000	-216.5198	3.0422
2017/01/28 21:18:32.000000000	-216.5172	3.0422
2017/01/28 21:20:41.000000000	-216.5179	3.0422
2017/01/28 21:22:50.000000000	-216.5274	3.0422
2017/01/28 21:24:59.000000000	-216.5220	3.0422
2017/01/28 21:27:08.000000000	-216.5138	3.0425
2017/01/28 21:29:17.000000000	-216.5126	3.0429
2017/01/28 21:31:26.000000000	-216.5241	3.0424
2017/01/28 21:33:35.000000000	-216.5275	3.0425
2017/01/28 21:35:44.000000000	-216.5267	3.0430
2017/01/28 21:37:53.000000000	-216.5294	3.0437
2017/01/28 21:40:02.000000000	-216.5320	3.0442
2017/01/28 21:42:11.000000000	-216.5318	3.0442
2017/01/28 21:44:20.000000000	-216.5264	3.0442
2017/01/28 21:46:29.000000000	-216.5159	3.0442
2017/01/28 21:48:38.000000000	-216.5174	3.0433
2017/01/28 21:50:47.000000000	-216.5253	3.0433
2017/01/28 21:52:56.000000000	-216.5195	3.0435
2017/01/28 21:55:05.000000000	-216.5241	3.0437
2017/01/28 21:57:14.000000000	-216.5169	3.0435
2017/01/28 21:59:23.000000000	-216.5201	3.0437
2017/01/28 22:01:32.000000000	-216.5239	3.0432
2017/01/28 22:03:41.000000000	-216.5245	3.0435
2017/01/28 22:05:50.000000000	-216.5169	3.0436
2017/01/28 22:07:59.000000000	-216.5096	3.0425
2017/01/28 22:10:08.000000000	-216.5187	3.0437
2017/01/28 22:12:17.000000000	-216.5250	3.0441
2017/01/28 22:14:26.000000000	-216.5189	3.0433
